car_ID,aspiration,carbody,enginelocation,enginetype,fuelsystem,price,carclass,brandavg,carspace,averagempg,performancebalance,enginedisplacement
2,std,convertible,front,dohc,mpfi,16500.0,2.0,16500.0,958659.088,23.333333333333332,171582.32,1638.3086432436294
4,std,sedan,front,ohc,mpfi,13950.0,3.0,17710.0,1166753.8159999999,26.373626373626372,124592.68411588411,2827.160784068121
5,std,sedan,front,ohc,mpfi,17450.0,3.0,17710.0,1165588.256,19.603960396039604,157428.21386138612,5968.450544143811
6,std,sedan,front,ohc,mpfi,15250.0,3.0,17710.0,1173148.0019999999,21.30044843049327,145248.60986547082,5968.450544143811
7,std,sedan,front,ohc,mpfi,17710.0,3.0,17710.0,1455678.924,21.30044843049327,164773.45291479817,5968.450544143811
8,std,wagon,front,ohc,mpfi,18920.0,3.0,17710.0,1455678.924,21.30044843049327,171146.54708520178,5968.450544143811
9,turbo,sedan,front,ohc,mpfi,23875.0,3.0,17710.0,1455678.924,18.230563002680963,187599.91810870092,5746.043487772575
10,turbo,hatchback,front,ohc,mpfi,17859.167,3.0,17710.0,1203928.11,18.238341968911918,212197.7367875648,5746.043487772575
12,std,sedan,front,ohc,mpfi,16925.0,3.0,27662.5,1159411.9679999999,25.36121673003802,114233.3041825095,1900.8269182398112
14,std,sedan,front,ohc,mpfi,21105.0,3.0,27662.5,1159411.9679999999,23.661971830985912,305482.51466445724,5865.9345480283655
15,std,sedan,front,ohc,mpfi,24565.0,3.0,27662.5,1308664.35,21.978021978021975,313501.84873949573,5865.9345480283655
16,std,sedan,front,ohc,mpfi,30760.0,3.0,27662.5,1308664.35,18.238341968911918,414965.3087699098,8420.258254361397
17,std,sedan,front,ohc,mpfi,41315.0,3.0,27662.5,1361958.5700000003,18.238341968911918,434236.14354250627,8420.258254361397
18,std,sedan,front,ohc,mpfi,36880.0,3.0,27662.5,1536403.0000000002,16.901408450704224,417286.979655712,8420.258254361397
20,std,hatchback,front,ohc,2bbl,6295.0,0.0,6435.0,936990.1799999999,40.09815950920245,87667.94274028631,1952.0854071557167
21,std,sedan,front,ohc,2bbl,6575.0,0.0,6435.0,954419.76,40.09815950920245,89305.28425357872,1952.0854071557167
25,std,hatchback,front,ohc,2bbl,6229.0,1.0,8558.0,940348.838,33.80200860832138,73983.62394678492,2101.1296746828243
27,std,sedan,front,ohc,2bbl,7609.0,1.0,8558.0,940348.838,33.80200860832138,74811.09711751663,2101.1296746828243
28,turbo,sedan,front,ohc,mpfi,8558.0,1.0,8558.0,940348.838,26.373626373626372,105020.91188811188,2528.2309433952346
29,std,wagon,front,ohc,2bbl,8921.0,1.0,8558.0,1165137.2279999997,26.373626373626372,143555.65714285715,3266.2815730872017
30,turbo,hatchback,front,ohc,mfi,12964.0,1.0,8558.0,1101235.0439999998,20.96551724137931,266617.728,5434.144885469421
31,std,hatchback,front,ohc,1bbl,6479.0,0.0,7295.0,800178.8039999999,51.130434782608695,97366.92,2373.457752853161
33,std,hatchback,front,ohc,1bbl,5399.0,0.0,7295.0,899520.0,39.701492537313435,62853.81492537314,1731.9426026572107
35,std,hatchback,front,ohc,1bbl,7129.0,0.0,7295.0,899520.0,31.67701863354037,72204.34285714285,2373.457752853161
36,std,sedan,front,ohc,1bbl,7295.0,0.0,7295.0,1009158.4,31.67701863354037,74197.71428571428,2373.457752853161
37,std,wagon,front,ohc,1bbl,7295.0,0.0,7295.0,968733.5849999998,31.67701863354037,74714.51428571428,2389.798205492045
38,std,hatchback,front,ohc,1bbl,7895.0,0.0,7295.0,1053876.5,29.405940594059402,107243.26254694433,3218.1225483632606
40,std,sedan,front,ohc,1bbl,8845.0,0.0,7295.0,1103581.7200000002,29.405940594059402,110504.68555821099,3218.1225483632606
41,std,sedan,front,ohc,1bbl,10295.0,0.0,7295.0,1057881.25,29.405940594059402,113766.10856947761,3218.1225483632606
45,std,sedan,front,ohc,2bbl,8916.5,1.0,8916.5,936990.1799999999,40.09815950920245,87667.94274028631,1952.0854071557167
46,std,sedan,front,ohc,2bbl,8916.5,1.0,8916.5,936990.1799999999,40.09815950920245,89305.28425357872,1952.0854071557167
47,std,hatchback,front,ohc,spfi,11048.0,1.0,8916.5,1080337.92,26.018691588785043,152371.39020560746,2802.3875692589154
48,std,sedan,front,dohc,mpfi,32250.0,3.0,35550.0,1569814.0799999998,16.569767441860463,644054.3999999999,15759.070235127896
49,std,sedan,front,dohc,mpfi,35550.0,3.0,35550.0,1569814.0799999998,16.569767441860463,644054.3999999999,15759.070235127896
50,std,sedan,front,ohcv,mpfi,36000.0,3.0,35550.0,1380470.0399999998,14.539473684210526,981057.9657894737,7449.48332533176
51,std,hatchback,front,ohc,2bbl,5195.0,0.0,5645.0,950943.8819999999,30.44189852700491,71205.5489361702,2028.3799507850583
52,std,hatchback,front,ohc,2bbl,6095.0,0.0,5645.0,950943.8819999999,33.80200860832138,79483.39512195122,2028.3799507850583
53,std,hatchback,front,ohc,2bbl,6795.0,2.0,10945.0,950943.8819999999,33.80200860832138,79692.56195121953,2028.3799507850583
54,std,sedan,front,ohc,2bbl,6695.0,2.0,10945.0,996966.9360000001,33.80200860832138,81365.89658536586,2028.3799507850583
55,std,sedan,front,ohc,2bbl,7395.0,2.0,10945.0,996966.9360000001,33.80200860832138,81575.06341463416,2095.875520387694
56,std,hatchback,front,rotor,4bbl,10945.0,2.0,10945.0,1058144.49,19.261083743842363,54016.42528735632,3904.5831825673195
57,std,hatchback,front,rotor,4bbl,11845.0,2.0,10945.0,1058144.49,19.261083743842363,54016.42528735632,3904.5831825673195
58,std,hatchback,front,rotor,4bbl,13645.0,2.0,10945.0,1058144.49,19.261083743842363,54129.90517241379,3904.5831825673195
64,std,sedan,front,ohc,idi,10795.0,2.0,10945.0,1168181.56,38.473282442748086,157822.73292292535,3164.6878655243368
65,std,hatchback,front,ohc,2bbl,11245.0,2.0,10945.0,1168181.56,28.395904436860068,147016.24573378838,3164.6878655243368
